Запрос,Город запроса,Название,VK,Подписчиков,Тип,Закрытая
косплей на заказ,Красноярск,onore photo,https://vk.com/panopticonbyro,,group,нет
косплей на заказ,Краснодар,Соля ♡ cosplay,https://vk.com/kuru_cos,,group,нет
косплей на заказ,Краснодар,Монахиня,https://vk.com/club219015143,,group,нет
косплей на заказ,Краснодар,Молодежный центр экстрима,https://vk.com/kubantur,,group,нет
косплей на заказ,Краснодар,3д фигурки - Дизайнер _ творческие будни,https://vk.com/creative_heart_souls,,group,нет
косплей на заказ,Краснодар,"UNIVERSE 3D - Миниатюры, диорамы, фигурки",https://vk.com/3duni,,group,нет
косплей на заказ,Краснодар,Косплей-фотограф Tim Frost,https://vk.com/timfrost_ph,,group,нет
косплей на заказ,Краснодар,Heroes of cosplay,https://vk.com/club105226592,,group,нет
косплей на заказ,Краснодар,"Аренда, продажа париков Краснодар. Цветные Линзы",https://vk.com/kospleika,,group,нет
косплей на заказ,Краснодар,☆.｡ПушистКики｡.☆ — Меховые ушки и хвостики,https://vk.com/pushistkiki,,group,нет
косплей на заказ,Краснодар,AnimalLand•Костюмы,https://vk.com/youanimalland,,group,нет
косплей на заказ,Краснодар,exadteam_factory | Изделия ручной работы.,https://vk.com/exadteam_factory,,group,нет
косплей на заказ,Краснодар,"FoxTails - аниме и k-pop мерч, одежда из Кореи",https://vk.com/fox.tails,,group,нет
косплей на заказ,Краснодар,"одежда, косметика, линзы:3 (Магазин, Shop)",https://vk.com/club48977128,,group,нет
косплей на заказ,Краснодар,Аниме-ярмарка в Краснодаре!,https://vk.com/club4762376,,group,нет
